filed_date,fiscal_year,form,fiscal_period,company,ticker,category,Assets,CommonStockSharesOutstanding,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueRemainingPerformanceObligation,StockholdersEquity,BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,ContractWithCustomerLiabilityChangeInTimeframePerformanceObligationSatisfiedRevenueRecognized,OperatingLeasesIncomeStatementMinimumLeaseRevenue,Revenues
2020-08-13,2020,10-Q,Q2,Lyft,LYFT,gig,5691383000.0,,2374000.0,2837299000.0,-1138473000.0,-1829806000.0,1583372000.0,,-2871281000.0,,,,1643292000.0
2020-11-12,2020,10-Q,Q3,Lyft,LYFT,gig,5691383000.0,,4283000.0,2837299000.0,-1138473000.0,-2320666000.0,2492498000.0,,-2871281000.0,,,,2598890000.0
2021-03-01,2020,10-K,FY,Lyft,LYFT,gig,5691383000.0,,738000.0,2837299000.0,-911335000.0,-977711000.0,2106021000.0,,-1979438000.0,,,,2156616000.0
2021-05-06,2021,10-Q,Q1,Lyft,LYFT,gig,4678964000.0,,1630000.0,3002801000.0,-398073000.0,-414105000.0,918331000.0,,2854084000.0,,,,955712000.0
2021-08-05,2021,10-Q,Q2,Lyft,LYFT,gig,4678964000.0,,-43169000.0,3002801000.0,-398073000.0,-901602000.0,1230680000.0,,2854084000.0,,,,1295057000.0
2021-11-04,2021,10-Q,Q3,Lyft,LYFT,gig,4678964000.0,,-42060000.0,3002801000.0,-398073000.0,-1354955000.0,1681239000.0,,2854084000.0,,,,1794801000.0
2022-02-28,2021,10-K,FY,Lyft,LYFT,gig,4678964000.0,,2356000.0,3002801000.0,-2602241000.0,-2702480000.0,3465473000.0,,-2871281000.0,,,,3615960000.0
2022-05-10,2022,10-Q,Q1,Lyft,LYFT,gig,4773884000.0,,1934000.0,3432671000.0,-427339000.0,-416442000.0,568790000.0,,1676163000.0,,,,608960000.0
2022-08-05,2022,10-Q,Q2,Lyft,LYFT,gig,4773884000.0,,2626000.0,3432671000.0,-427339000.0,-656560000.0,1265688000.0,,1676163000.0,,,,1373985000.0
2022-11-08,2022,10-Q,Q3,Lyft,LYFT,gig,4824268000.0,,9253000.0,3368369000.0,-427339000.0,-861596000.0,2049756000.0,,1676163000.0,,,,2238390000.0
2023-02-27,2022,10-K,FY,Lyft,LYFT,gig,4773884000.0,,-44534000.0,3432671000.0,-1752857000.0,-1808382000.0,2208656000.0,,2854084000.0,,,,2364681000.0
2023-05-08,2023,10-Q,Q1,Lyft,LYFT,gig,4556431000.0,,2803000.0,4167763000.0,-196932000.0,-199343000.0,818099000.0,,1341213000.0,,,,875575000.0
2023-08-09,2023,10-Q,Q2,Lyft,LYFT,gig,4556431000.0,,2867000.0,4167763000.0,-196932000.0,-572518000.0,1732646000.0,,1341213000.0,,,,1866323000.0
2023-11-09,2023,10-Q,Q3,Lyft,LYFT,gig,4556431000.0,,3515000.0,4167763000.0,-196932000.0,-862894000.0,2698694000.0,,1341213000.0,,,,2920143000.0
2024-02-20,2023,10-K,FY,Lyft,LYFT,gig,4556431000.0,,11225000.0,4167763000.0,-1062144000.0,-1135217000.0,2957979000.0,,1676163000.0,,,,3208323000.0
2024-05-09,2024,10-Q,Q1,Lyft,LYFT,gig,4564467000.0,,2676000.0,4022949000.0,-187649000.0,-216755000.0,952697000.0,,388668000.0,,,,1000548000.0
2024-08-07,2024,10-Q,Q2,Lyft,LYFT,gig,4564467000.0,,5343000.0,4022949000.0,-187649000.0,-375274000.0,1893655000.0,,388668000.0,,,,2021454000.0
2024-11-07,2024,10-Q,Q3,Lyft,LYFT,gig,4564467000.0,,5454000.0,4022949000.0,-187649000.0,-415453000.0,2963594000.0,,388668000.0,,,,3179004000.0
2025-02-14,2024,10-K,FY,Lyft,LYFT,gig,4564467000.0,,5872000.0,4022949000.0,-1584511000.0,-1458916000.0,3811993000.0,,1341213000.0,,,,4095135000.0
2025-05-09,2025,10-Q,Q1,Lyft,LYFT,gig,5435069000.0,,2593000.0,4668053000.0,-31535000.0,-62951000.0,1209737000.0,,541518000.0,,,,1277201000.0
2025-08-07,2025,10-Q,Q2,Lyft,LYFT,gig,5435069000.0,,4444000.0,4668053000.0,-31535000.0,-90177000.0,2531568000.0,,541518000.0,,,,2713047000.0
2025-11-05,2025,10-Q,Q3,Lyft,LYFT,gig,5435069000.0,399353398.0,3762000.0,4668053000.0,-31535000.0,-146864000.0,3919393000.0,,541518000.0,,,,4235739000.0
2026-02-11,2025,10-K,FY,Lyft,LYFT,gig,5435069000.0,398107601.0,8616000.0,4668053000.0,-340320000.0,-475604000.0,4116216000.0,,388668000.0,,,,4403589000.0
2021-03-05,2020,10-K,FY,DoorDash,DASH,gig,1732000000.0,,0.0,550000000.0,-204000000.0,-210000000.0,291000000.0,,-198000000.0,,,,
2021-05-14,2021,10-Q,Q1,DoorDash,DASH,gig,6353000000.0,,1000000.0,1653000000.0,-129000000.0,-123000000.0,362000000.0,,-1082000000.0,,,,
2021-08-13,2021,10-Q,Q2,DoorDash,DASH,gig,6353000000.0,,1000000.0,1653000000.0,-129000000.0,-96000000.0,1037000000.0,,-1082000000.0,,,,
2021-11-10,2021,10-Q,Q3,DoorDash,DASH,gig,6353000000.0,,2000000.0,1653000000.0,-129000000.0,-131000000.0,1916000000.0,,-1082000000.0,,,,
2022-03-01,2021,10-K,FY,DoorDash,DASH,gig,6353000000.0,,1000000.0,1653000000.0,-667000000.0,-616000000.0,885000000.0,,-436000000.0,,,,
2022-05-06,2022,10-Q,Q1,DoorDash,DASH,gig,6809000000.0,,1000000.0,2142000000.0,-110000000.0,-99000000.0,1077000000.0,,4700000000.0,,,,
2022-08-05,2022,10-Q,Q2,DoorDash,DASH,gig,6809000000.0,,3000000.0,2142000000.0,-110000000.0,-198000000.0,2313000000.0,,4700000000.0,,,,
2022-11-04,2022,10-Q,Q3,DoorDash,DASH,gig,6809000000.0,,3000000.0,2142000000.0,-110000000.0,-298000000.0,3588000000.0,,4700000000.0,,,,
