filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,EarningsPerShareDiluted,Liabilities,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,WeightedAverageNumberOfSharesOutstandingBasic,ticker,OperatingExpenses
2025-07-24,2025,10-Q,Q2,3240000000.0,,2.05,1356500000.0,303800000.0,2003100000.0,,146822116.0,AOS,
2025-10-28,2025,10-Q,Q3,3240000000.0,,2.87,1356500000.0,423900000.0,2905700000.0,,146404181.0,AOS,
2026-02-10,2025,10-K,FY,3213900000.0,,3.69,1356500000.0,556600000.0,3852800000.0,,149952679.0,AOS,
2009-08-07,2009,10-Q,Q2,42419204000.0,,1.45,,,,,1541909000.0,ABT,
2009-11-06,2009,10-Q,Q3,42419204000.0,,2.14,,,,,1543605000.0,ABT,
2010-02-19,2009,10-K,FY,39713924000.0,,2.31,,,,,1543082000.0,ABT,
2010-05-04,2010,10-Q,Q1,52416623000.0,,0.92,,,,,1545767000.0,ABT,
2010-08-05,2010,10-Q,Q2,52416623000.0,,1.75,,,,,1546317000.0,ABT,
2010-11-05,2010,10-Q,Q3,52416623000.0,,2.7,,,,,1546493000.0,ABT,
2011-02-18,2010,10-K,FY,42419204000.0,,0.6,,,,,1545355000.0,ABT,
2011-05-06,2011,10-Q,Q1,59462266000.0,,0.64,,,,,1547815000.0,ABT,
2011-08-04,2011,10-Q,Q2,59462266000.0,,1.47,,,,,1546375000.0,ABT,
2011-11-04,2011,10-Q,Q3,59462266000.0,,2.04,,,,,1546147000.0,ABT,
2012-02-21,2011,10-K,FY,52581623000.0,,0.92,,,,,1546983000.0,ABT,
2012-05-08,2012,10-Q,Q1,60276893000.0,,0.55,,,,,1551755000.0,ABT,
2012-08-07,2012,10-Q,Q2,60276893000.0,,1.79,,,,,1554097000.0,ABT,
2012-11-07,2012,10-Q,Q3,60276893000.0,,1.98,,,,,1555482000.0,ABT,
2013-02-15,2012,10-K,FY,60573852000.0,,0.64,,,,,1546400000.0,ABT,
2013-05-08,2013,10-Q,Q1,67234944000.0,,0.78,,,,,1573921000.0,ABT,
2013-08-06,2013,10-Q,Q2,67234944000.0,,1.85,,,,,1572681000.0,ABT,
2013-11-07,2013,10-Q,Q3,67234944000.0,,3.06,,,,,1574466000.0,ABT,
2014-02-21,2013,10-K,FY,60277000000.0,,3.01,,4728000000.0,,,1557000000.0,ABT,
2014-05-07,2014,10-Q,Q1,42953000000.0,,0.34,,544000000.0,,,1568730000.0,ABT,
2014-08-05,2014,10-Q,Q2,42953000000.0,,0.64,,1021000000.0,,,1564894000.0,ABT,
2014-11-06,2014,10-Q,Q3,42953000000.0,,1.25,,1987000000.0,,,1560369000.0,ABT,
2015-02-27,2014,10-K,FY,67235000000.0,,3.72,,5963000000.0,,,1575000000.0,ABT,
2015-05-06,2015,10-Q,Q1,41275000000.0,,0.24,,375000000.0,,,1532810000.0,ABT,
2015-08-04,2015,10-Q,Q2,41275000000.0,,0.55,,841000000.0,,,1521668000.0,ABT,
2015-11-05,2015,10-Q,Q3,41275000000.0,,0.9,,1380000000.0,,,1517834000.0,ABT,
2016-02-19,2015,10-K,FY,42937000000.0,,1.62,,2576000000.0,,,1558000000.0,ABT,
2016-05-04,2016,10-Q,Q1,41247000000.0,,1.51,,2292000000.0,,,1504995000.0,ABT,
2016-08-03,2016,10-Q,Q2,41247000000.0,,2.03,,3076000000.0,,,1500285000.0,ABT,
2016-11-03,2016,10-Q,Q3,41247000000.0,,2.41,,3656000000.0,,,1498914000.0,ABT,
2017-02-17,2016,10-K,FY,41207000000.0,,1.49,,2284000000.0,,,1516000000.0,ABT,
2017-05-03,2017,10-Q,Q1,52666000000.0,,0.21,,316000000.0,,,1477332000.0,ABT,
2017-08-02,2017,10-Q,Q2,52666000000.0,,0.63,,931000000.0,,,1476161000.0,ABT,
2017-11-02,2017,10-Q,Q3,52666000000.0,,0.4,,602000000.0,,,1476351000.0,ABT,
2018-02-16,2017,10-K,FY,41247000000.0,,2.92,,4423000000.0,,,1496000000.0,ABT,
2018-05-02,2018,10-Q,Q1,76250000000.0,,0.24,,419000000.0,6335000000.0,,1727356000.0,ABT,
2018-08-01,2018,10-Q,Q2,76250000000.0,,0.4,,702000000.0,12972000000.0,,1734008000.0,ABT,
2018-10-31,2018,10-Q,Q3,76250000000.0,,0.74,,1305000000.0,19801000000.0,,1737310000.0,ABT,
2019-02-22,2018,10-K,FY,52666000000.0,,0.94,,1400000000.0,20853000000.0,,1477000000.0,ABT,
2019-05-01,2019,10-Q,Q1,67173000000.0,,0.23,,418000000.0,7390000000.0,,1753412000.0,ABT,
2019-07-31,2019,10-Q,Q2,67173000000.0,,0.64,,1151000000.0,15157000000.0,,1755691000.0,ABT,
2019-10-31,2019,10-Q,Q3,67173000000.0,,0.96,,1714000000.0,22813000000.0,,1757018000.0,ABT,
2020-02-21,2019,10-K,FY,76250000000.0,,0.27,,477000000.0,27390000000.0,,1740000000.0,ABT,
2020-04-29,2020,10-Q,Q1,67887000000.0,,0.38,,672000000.0,7535000000.0,,1763278000.0,ABT,
2020-07-29,2020,10-Q,Q2,67887000000.0,,0.94,,1678000000.0,15514000000.0,,1766182000.0,ABT,
2020-11-04,2020,10-Q,Q3,67887000000.0,,1.47,,2638000000.0,23590000000.0,,1767985000.0,ABT,
2021-02-19,2020,10-K,FY,67173000000.0,,1.33,,2368000000.0,30578000000.0,,1758000000.0,ABT,
2021-05-05,2021,10-Q,Q1,72548000000.0,,0.31,,564000000.0,7726000000.0,,1768901000.0,ABT,
2021-08-04,2021,10-Q,Q2,72548000000.0,,0.61,,1101000000.0,15054000000.0,,1770970000.0,ABT,
2021-11-03,2021,10-Q,Q3,72548000000.0,,1.3,,2333000000.0,23907000000.0,,1772166000.0,ABT,
2022-02-18,2021,10-K,FY,72548000000.0,,2.06,,3687000000.0,31904000000.0,,1768000000.0,ABT,
2022-05-03,2022,10-Q,Q1,75196000000.0,,1.0,,1793000000.0,10456000000.0,,1776842000.0,ABT,
2022-08-02,2022,10-Q,Q2,75196000000.0,,1.66,,2982000000.0,20679000000.0,,1778049000.0,ABT,
2022-11-01,2022,10-Q,Q3,75196000000.0,,2.83,,5082000000.0,31607000000.0,,1776870000.0,ABT,
2023-02-17,2022,10-K,FY,75196000000.0,,2.5,,4495000000.0,34608000000.0,,1773000000.0,ABT,
2023-05-04,2023,10-Q,Q1,74438000000.0,,1.37,,2447000000.0,11895000000.0,,1761911000.0,ABT,
2023-08-03,2023,10-Q,Q2,74438000000.0,,2.51,,4465000000.0,23152000000.0,,1757858000.0,ABT,
2023-11-01,2023,10-Q,Q3,74438000000.0,,3.32,,5900000000.0,33562000000.0,,1756209000.0,ABT,
2024-02-16,2023,10-K,FY,74438000000.0,,3.94,,7071000000.0,43075000000.0,,1775000000.0,ABT,
2024-05-02,2024,10-Q,Q1,73214000000.0,,0.75,,1318000000.0,9747000000.0,,1741738000.0,ABT,
2024-07-31,2024,10-Q,Q2,73214000000.0,,1.53,,2693000000.0,19725000000.0,,1741051000.0,ABT,
2024-10-31,2024,10-Q,Q3,73214000000.0,,2.35,,4129000000.0,29868000000.0,,1740255000.0,ABT,
2025-02-21,2024,10-K,FY,73214000000.0,,3.91,,6933000000.0,43653000000.0,,1753000000.0,ABT,
2025-04-30,2025,10-Q,Q1,81414000000.0,,0.7,,1225000000.0,9964000000.0,,1740203000.0,ABT,
2025-07-30,2025,10-Q,Q2,81414000000.0,,1.44,,2527000000.0,20341000000.0,,1741595000.0,ABT,
2025-10-29,2025,10-Q,Q3,81414000000.0,,2.38,,4173000000.0,30976000000.0,,1740869000.0,ABT,
2026-02-20,2025,10-K,FY,81414000000.0,,3.26,,5723000000.0,40109000000.0,,1740000000.0,ABT,
2013-05-08,2013,10-Q,Q1,27008000000.0,,0.56,,,,,1577000000.0,ABBV,
2013-08-09,2013,10-Q,Q2,27008000000.0,,1.36,,,,,1577000000.0,ABBV,
2013-11-12,2013,10-Q,Q3,27008000000.0,,2.37,,,,,1577000000.0,ABBV,
2014-02-21,2013,10-K,FY,27008000000.0,,2.18,,,,,1577000000.0,ABBV,
2014-05-09,2014,10-Q,Q1,29198000000.0,,0.6,,,,,1588000000.0,ABBV,
2014-08-07,2014,10-Q,Q2,29198000000.0,,1.27,,,,,1586000000.0,ABBV,
2014-11-07,2014,10-Q,Q3,29198000000.0,,1.86,,,,,1588000000.0,ABBV,
2015-02-20,2014,10-K,FY,29198000000.0,,3.35,,,,,1577000000.0,ABBV,
2015-05-08,2015,10-Q,Q1,27547000000.0,,0.61,,,,,1595000000.0,ABBV,
2015-08-07,2015,10-Q,Q2,27513000000.0,,1.29,,,,9489000000.0,1594000000.0,ABBV,
2015-11-06,2015,10-Q,Q3,27513000000.0,,1.6,,,,14508000000.0,1595000000.0,ABBV,
2016-02-19,2015,10-K,FY,27513000000.0,,2.56,,,,,1589000000.0,ABBV,
2016-05-06,2016,10-Q,Q1,53050000000.0,,0.63,,,,5040000000.0,1595000000.0,ABBV,
2016-08-05,2016,10-Q,Q2,53050000000.0,,1.47,,,,10515000000.0,1608000000.0,ABBV,
2016-11-07,2016,10-Q,Q3,53050000000.0,,2.21,,3627000000.0,,16459000000.0,1623000000.0,ABBV,
2017-02-17,2016,10-K,FY,53050000000.0,,1.1,,1774000000.0,,,1595000000.0,ABBV,
2017-05-05,2017,10-Q,Q1,66099000000.0,,0.83,,1354000000.0,,5958000000.0,1616000000.0,ABBV,
2017-08-07,2017,10-Q,Q2,66099000000.0,,1.81,,2964000000.0,,12410000000.0,1620000000.0,ABBV,
2017-11-07,2017,10-Q,Q3,66099000000.0,,2.78,,4562000000.0,,18842000000.0,1624000000.0,ABBV,
2018-02-16,2017,10-K,FY,66099000000.0,,3.13,,5144000000.0,,,1625000000.0,ABBV,
2018-05-04,2018,10-Q,Q1,70786000000.0,,1.06,,1711000000.0,6538000000.0,6538000000.0,1597000000.0,ABBV,
2018-08-07,2018,10-Q,Q2,70786000000.0,,2.25,,3626000000.0,13482000000.0,13482000000.0,1595000000.0,ABBV,
2018-11-07,2018,10-Q,Q3,70786000000.0,,3.27,,5257000000.0,20477000000.0,20477000000.0,1596000000.0,ABBV,
2019-02-27,2018,10-K,FY,70786000000.0,,3.63,,5953000000.0,25638000000.0,25638000000.0,1622000000.0,ABBV,
2019-05-03,2019,10-Q,Q1,59352000000.0,,1.74,,2783000000.0,,7934000000.0,1591000000.0,ABBV,
2019-08-05,2019,10-Q,Q2,59352000000.0,,2.99,,4766000000.0,,16212000000.0,1579000000.0,ABBV,
2019-11-06,2019,10-Q,Q3,59352000000.0,,4.79,,7513000000.0,,24448000000.0,1556000000.0,ABBV,
2020-02-21,2019,10-K,FY,59352000000.0,,3.3,,5309000000.0,28216000000.0,28216000000.0,1596000000.0,ABBV,
2020-05-08,2020,10-Q,Q1,89115000000.0,,1.65,,2456000000.0,,7828000000.0,1480000000.0,ABBV,
2020-08-04,2020,10-Q,Q2,89115000000.0,,2.14,,3197000000.0,,16083000000.0,1480000000.0,ABBV,
2020-11-04,2020,10-Q,Q3,89115000000.0,,3.41,,5081000000.0,,24562000000.0,1480000000.0,ABBV,
2021-02-19,2020,10-K,FY,89115000000.0,,3.66,,5687000000.0,32753000000.0,32753000000.0,1541000000.0,ABBV,
