filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,EarningsPerShareDiluted,Liabilities,NetIncomeLoss,OperatingExpenses,RevenueFromContractWithCustomerExcludingAssessedTax,WeightedAverageNumberOfSharesOutstandingBasic,ticker,Revenues
2016-11-03,2016,10-Q,Q3,553061000.0,112563354.0,,222563000.0,-49831000.0,129121000.0,,,ETSY,185604000.0
2017-02-28,2016,10-K,FY,553061000.0,44180393.0,,222563000.0,-15243000.0,128209000.0,,,ETSY,195591000.0
2017-05-02,2017,10-Q,Q1,581193000.0,115973039.0,0.01,236436000.0,1192000.0,47153000.0,,112129470.0,ETSY,81847000.0
2017-08-07,2017,10-Q,Q2,581193000.0,115973039.0,-0.05,236436000.0,-6119000.0,98735000.0,,112760531.0,ETSY,167196000.0
2017-11-08,2017,10-Q,Q3,581193000.0,115973039.0,-0.08,236436000.0,-8518000.0,154310000.0,,112980639.0,ETSY,254758000.0
2018-03-01,2017,10-K,FY,581193000.0,115973039.0,-0.59,236436000.0,-54063000.0,178404000.0,,91122291.0,ETSY,273499000.0
2018-05-09,2018,10-Q,Q1,605583000.0,121769238.0,0.0,208689000.0,-421000.0,64333000.0,,115696024.0,ETSY,96891000.0
2018-08-07,2018,10-Q,Q2,605583000.0,121769238.0,0.1,208689000.0,11248000.0,142019000.0,198583000.0,116453790.0,ETSY,
2018-11-07,2018,10-Q,Q3,605583000.0,121769238.0,0.31,208689000.0,37050000.0,204591000.0,304963000.0,117387714.0,ETSY,
2019-02-28,2018,10-K,FY,605583000.0,121769238.0,-0.26,208689000.0,-29901000.0,224062000.0,364967000.0,113562738.0,ETSY,
2019-05-09,2019,10-Q,Q1,901851000.0,119771702.0,0.1,500953000.0,12967000.0,65819000.0,120912000.0,121267092.0,ETSY,
2019-08-02,2019,10-Q,Q2,901851000.0,119771702.0,0.13,500953000.0,12967000.0,140035000.0,253299000.0,120819201.0,ETSY,
2019-10-31,2019,10-Q,Q3,901851000.0,119771702.0,0.29,500953000.0,12967000.0,224717000.0,403665000.0,120469066.0,ETSY,
2020-02-27,2019,10-K,FY,901851000.0,119771702.0,0.68,500953000.0,81800000.0,278349000.0,441231000.0,118538687.0,ETSY,
2020-05-07,2020,10-Q,Q1,1542352000.0,118342772.0,0.24,1135718000.0,31579000.0,85038000.0,169339000.0,119679149.0,ETSY,
2020-08-06,2020,10-Q,Q2,1542352000.0,118342772.0,0.38,1135718000.0,49802000.0,189680000.0,350434000.0,119848289.0,ETSY,
2020-10-29,2020,10-Q,Q3,1542352000.0,118342772.0,0.51,1135718000.0,64603000.0,304446000.0,548381000.0,120090291.0,ETSY,
2021-02-26,2020,10-K,FY,1542352000.0,118342772.0,0.61,1135718000.0,77491000.0,338145000.0,603693000.0,120146076.0,ETSY,
2021-05-06,2021,10-Q,Q1,2404489000.0,125835931.0,0.1,1662065000.0,12522000.0,120274000.0,228055000.0,118138186.0,ETSY,
2021-08-05,2021,10-Q,Q2,2404489000.0,125835931.0,0.88,1662065000.0,108947000.0,318490000.0,656792000.0,118483712.0,ETSY,
2021-11-04,2021,10-Q,Q3,2404489000.0,125835931.0,1.59,1662065000.0,200708000.0,531631000.0,1108270000.0,119666841.0,ETSY,
2022-02-25,2021,10-K,FY,2404489000.0,125835931.0,0.76,1662065000.0,95894000.0,458582000.0,818379000.0,119665248.0,ETSY,
