ticker,date,filed_date,form,fiscal_period,company,industrykey,sectorkey,fiscal_year,Assets,CommonStockSharesOutstanding,GrossProfit,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,WeightedAverageNumberOfSharesOutstandingBasic,Revenue,has_gross_profit,has_operating_income,has_operating_expenses,has_liabilities,has_revenue,has_common_stock_outstanding,has_weighted_avg_shares,year,close,volume
SHOP,2024-12-31,2025-02-11,10-K,FY,SHOP,software-application,technology,2024,5600000000.0,5600000000.0,5600000000.0,5600000000.0,,5600000000.0,5600000000.0,5600000000.0,5600000000.0,5600000000.0,1,1,1,0,1,1,1,2024,106.33000183105467,3768700.0
SHOP,2025-12-31,2026-02-11,10-K,FY,SHOP,software-application,technology,2025,7060000000.0,7060000000.0,7060000000.0,7060000000.0,,7060000000.0,7060000000.0,7060000000.0,7060000000.0,7060000000.0,1,1,1,0,1,1,1,2025,163.74000549316406,4812400.0
TUP,2010-12-31,2011-02-22,10-K,FY,TUP,,,2010,1397700000.0,,1397700000.0,1397700000.0,1397700000.0,1397700000.0,,1397700000.0,1397700000.0,1397700000.0,1,1,0,1,1,0,1,2010,,
TUP,2011-12-31,2012-02-28,10-K,FY,TUP,,,2011,1409000000.0,,1409000000.0,1409000000.0,1409000000.0,1409000000.0,,1409000000.0,1409000000.0,1409000000.0,1,1,0,1,1,0,1,2011,,
TUP,2012-12-31,2013-02-26,10-K,FY,TUP,,,2012,1534200000.0,,1534200000.0,1534200000.0,1534200000.0,1534200000.0,,1534200000.0,1534200000.0,1534200000.0,1,1,0,1,1,0,1,2012,,
TUP,2013-12-31,2014-02-25,10-K,FY,TUP,,,2013,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,0,1,1,0,1,2013,,
TUP,2014-12-31,2015-02-24,10-K,FY,TUP,,,2014,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,0,1,1,0,1,2014,,
TUP,2015-12-31,2016-03-04,10-K,FY,TUP,,,2015,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,0,1,1,0,1,2015,,
TUP,2016-12-31,2017-02-28,10-K,FY,TUP,,,2016,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,0,1,1,0,1,2016,,
TUP,2017-12-31,2018-02-27,10-K,FY,TUP,,,2017,1539400000.0,,1539400000.0,1539400000.0,1539400000.0,1539400000.0,,1539400000.0,1539400000.0,1539400000.0,1,1,0,1,1,0,1,2017,,
TUP,2018-12-31,2019-02-26,10-K,FY,TUP,,,2018,1498400000.0,,1498400000.0,1498400000.0,1498400000.0,1498400000.0,,1498400000.0,1498400000.0,1498400000.0,1,1,0,1,1,0,1,2018,,
TUP,2019-12-31,2020-03-12,10-K,FY,TUP,,,2019,1511500000.0,,1511500000.0,1511500000.0,1511500000.0,1511500000.0,,1511500000.0,1511500000.0,1511500000.0,1,1,0,1,1,0,1,2019,,
TUP,2020-12-31,2021-03-10,10-K,FY,TUP,,,2020,1377500000.0,,1377500000.0,1377500000.0,1377500000.0,1377500000.0,,1377500000.0,1377500000.0,1377500000.0,1,1,0,1,1,0,1,2020,,
TUP,2021-12-31,2022-02-23,10-K,FY,TUP,,,2021,1069800000.0,,1069800000.0,1069800000.0,1069800000.0,1069800000.0,,1069800000.0,1069800000.0,1069800000.0,1,1,0,1,1,0,1,2021,,
TUP,2022-12-31,2023-10-13,10-K,FY,TUP,,,2022,1057100000.0,,1057100000.0,1057100000.0,1057100000.0,1057100000.0,,1057100000.0,1057100000.0,1057100000.0,1,1,0,1,1,0,1,2022,,
