Date,Week,Month,Quarter,Year,Company,Ticker,industryKey,sectorKey,Close,Volume,Close_lag1,Volume_lag1
2021-10-24,42,10,4,2021,Upwork,UPWK,internet-content-information,communication-services,58.70000076293945,1107700.0,59.209999084472656,2086700.0
2021-10-31,43,10,4,2021,Upwork,UPWK,internet-content-information,communication-services,47.119998931884766,2570700.0,58.70000076293945,1107700.0
2021-11-07,44,11,4,2021,Upwork,UPWK,internet-content-information,communication-services,49.040000915527344,1260900.0,47.119998931884766,2570700.0
2021-11-14,45,11,4,2021,Upwork,UPWK,internet-content-information,communication-services,47.5099983215332,1033900.0,49.040000915527344,1260900.0
2021-11-21,46,11,4,2021,Upwork,UPWK,internet-content-information,communication-services,40.959999084472656,1436800.0,47.5099983215332,1033900.0
2021-11-28,47,11,4,2021,Upwork,UPWK,internet-content-information,communication-services,37.61000061035156,1025200.0,40.959999084472656,1436800.0
2021-12-05,48,12,4,2021,Upwork,UPWK,internet-content-information,communication-services,35.45000076293945,1744600.0,37.61000061035156,1025200.0
2021-12-12,49,12,4,2021,Upwork,UPWK,internet-content-information,communication-services,34.029998779296875,1888000.0,35.45000076293945,1744600.0
2021-12-19,50,12,4,2021,Upwork,UPWK,internet-content-information,communication-services,34.189998626708984,2719600.0,34.029998779296875,1888000.0
2021-12-26,51,12,4,2021,Upwork,UPWK,internet-content-information,communication-services,33.63999938964844,1323200.0,34.189998626708984,2719600.0
2022-01-02,52,1,1,2022,Upwork,UPWK,internet-content-information,communication-services,34.15999984741211,672300.0,33.63999938964844,1323200.0
2022-01-09,1,1,1,2022,Upwork,UPWK,internet-content-information,communication-services,29.510000228881836,2313600.0,34.15999984741211,672300.0
2022-01-16,2,1,1,2022,Upwork,UPWK,internet-content-information,communication-services,28.25,1288200.0,29.510000228881836,2313600.0
2022-01-23,3,1,1,2022,Upwork,UPWK,internet-content-information,communication-services,25.170000076293945,3389300.0,28.25,1288200.0
2022-01-30,4,1,1,2022,Upwork,UPWK,internet-content-information,communication-services,24.549999237060547,2275700.0,25.170000076293945,3389300.0
2022-02-06,5,2,1,2022,Upwork,UPWK,internet-content-information,communication-services,27.559999465942383,1606600.0,24.549999237060547,2275700.0
2022-02-13,6,2,1,2022,Upwork,UPWK,internet-content-information,communication-services,25.59000015258789,5171300.0,27.559999465942383,1606600.0
2022-02-20,7,2,1,2022,Upwork,UPWK,internet-content-information,communication-services,24.489999771118164,1910100.0,25.59000015258789,5171300.0
2022-02-27,8,2,1,2022,Upwork,UPWK,internet-content-information,communication-services,24.540000915527344,1682100.0,24.489999771118164,1910100.0
2022-03-06,9,3,1,2022,Upwork,UPWK,internet-content-information,communication-services,21.760000228881836,2050400.0,24.540000915527344,1682100.0
2022-03-13,10,3,1,2022,Upwork,UPWK,internet-content-information,communication-services,18.790000915527344,1018800.0,21.760000228881836,2050400.0
2022-03-20,11,3,1,2022,Upwork,UPWK,internet-content-information,communication-services,22.31999969482422,1569200.0,18.790000915527344,1018800.0
2022-03-27,12,3,1,2022,Upwork,UPWK,internet-content-information,communication-services,23.06999969482422,950500.0,22.31999969482422,1569200.0
2022-04-03,13,4,2,2022,Upwork,UPWK,internet-content-information,communication-services,23.649999618530273,823400.0,23.06999969482422,950500.0
2022-04-10,14,4,2,2022,Upwork,UPWK,internet-content-information,communication-services,21.520000457763672,695600.0,23.649999618530273,823400.0
2022-04-17,15,4,2,2022,Upwork,UPWK,internet-content-information,communication-services,20.860000610351562,632600.0,21.520000457763672,695600.0
2022-04-24,16,4,2,2022,Upwork,UPWK,internet-content-information,communication-services,19.440000534057617,1138700.0,20.860000610351562,632600.0
2022-05-01,17,5,2,2022,Upwork,UPWK,internet-content-information,communication-services,20.969999313354492,1486700.0,19.440000534057617,1138700.0
2022-05-08,18,5,2,2022,Upwork,UPWK,internet-content-information,communication-services,19.940000534057617,1209100.0,20.969999313354492,1486700.0
2022-05-15,19,5,2,2022,Upwork,UPWK,internet-content-information,communication-services,18.209999084472656,1647700.0,19.940000534057617,1209100.0
2022-05-22,20,5,2,2022,Upwork,UPWK,internet-content-information,communication-services,18.329999923706055,1732100.0,18.209999084472656,1647700.0
2022-05-29,21,5,2,2022,Upwork,UPWK,internet-content-information,communication-services,18.989999771118164,1107900.0,18.329999923706055,1732100.0
2022-06-05,22,6,2,2022,Upwork,UPWK,internet-content-information,communication-services,18.540000915527344,807500.0,18.989999771118164,1107900.0
2022-06-12,23,6,2,2022,Upwork,UPWK,internet-content-information,communication-services,18.020000457763672,1023000.0,18.540000915527344,807500.0
2022-06-19,24,6,2,2022,Upwork,UPWK,internet-content-information,communication-services,18.860000610351562,1321000.0,18.020000457763672,1023000.0
2022-06-26,25,6,2,2022,Upwork,UPWK,internet-content-information,communication-services,22.200000762939453,1573300.0,18.860000610351562,1321000.0
2022-07-03,26,7,3,2022,Upwork,UPWK,internet-content-information,communication-services,22.190000534057617,1346900.0,22.200000762939453,1573300.0
2022-07-10,27,7,3,2022,Upwork,UPWK,internet-content-information,communication-services,24.25,1138200.0,22.190000534057617,1346900.0
2022-07-17,28,7,3,2022,Upwork,UPWK,internet-content-information,communication-services,20.6200008392334,959300.0,24.25,1138200.0
2022-07-24,29,7,3,2022,Upwork,UPWK,internet-content-information,communication-services,22.6200008392334,1023100.0,20.6200008392334,959300.0
2022-07-31,30,7,3,2022,Upwork,UPWK,internet-content-information,communication-services,18.559999465942383,2499100.0,22.6200008392334,1023100.0
2022-08-07,31,8,3,2022,Upwork,UPWK,internet-content-information,communication-services,20.639999389648438,1249100.0,18.559999465942383,2499100.0
2022-08-14,32,8,3,2022,Upwork,UPWK,internet-content-information,communication-services,19.329999923706055,903000.0,20.639999389648438,1249100.0
2022-08-21,33,8,3,2022,Upwork,UPWK,internet-content-information,communication-services,18.049999237060547,1106100.0,19.329999923706055,903000.0
2022-08-28,34,8,3,2022,Upwork,UPWK,internet-content-information,communication-services,17.5,695100.0,18.049999237060547,1106100.0
2022-09-04,35,9,3,2022,Upwork,UPWK,internet-content-information,communication-services,17.09000015258789,735100.0,17.5,695100.0
2022-09-11,36,9,3,2022,Upwork,UPWK,internet-content-information,communication-services,17.90999984741211,668700.0,17.09000015258789,735100.0
2022-09-18,37,9,3,2022,Upwork,UPWK,internet-content-information,communication-services,16.0,2072200.0,17.90999984741211,668700.0
2022-09-25,38,9,3,2022,Upwork,UPWK,internet-content-information,communication-services,13.720000267028809,1352300.0,16.0,2072200.0
2022-10-02,39,10,4,2022,Upwork,UPWK,internet-content-information,communication-services,13.619999885559082,867500.0,13.720000267028809,1352300.0
2022-10-09,40,10,4,2022,Upwork,UPWK,internet-content-information,communication-services,14.109999656677246,1034900.0,13.619999885559082,867500.0
2022-10-16,41,10,4,2022,Upwork,UPWK,internet-content-information,communication-services,12.34000015258789,692200.0,14.109999656677246,1034900.0
