Date,Company,Ticker,industryKey,sectorKey,Close,Volume
2020-01-08,Upwork,UPWK,internet-content-information,communication-services,10.130000114440918,4562600.0
2020-01-09,Upwork,UPWK,internet-content-information,communication-services,10.069999694824219,3307700.0
2020-01-10,Upwork,UPWK,internet-content-information,communication-services,10.029999732971191,2320400.0
2020-01-13,Upwork,UPWK,internet-content-information,communication-services,9.789999961853027,1563000.0
2020-01-14,Upwork,UPWK,internet-content-information,communication-services,9.869999885559082,1623800.0
2020-01-15,Upwork,UPWK,internet-content-information,communication-services,9.899999618530273,1262200.0
2020-01-16,Upwork,UPWK,internet-content-information,communication-services,10.069999694824219,1951100.0
2020-01-17,Upwork,UPWK,internet-content-information,communication-services,10.050000190734863,1311300.0
2020-01-21,Upwork,UPWK,internet-content-information,communication-services,9.979999542236328,1804700.0
2020-01-22,Upwork,UPWK,internet-content-information,communication-services,9.65999984741211,1605800.0
2020-01-23,Upwork,UPWK,internet-content-information,communication-services,9.630000114440918,1025400.0
