Uber,Lyft,DoorDash,Instacart,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Nu skin,USANA,Etsy,Shopify,Udemy,year,month,date
29.0,7.0,0.0,1.0,1.0,0.0,0.0,7.0,6.0,2.0,1.0,1.0,54.892857142857146,2.0714285714285716,1.0357142857142858,2014,8,2014-08-31
29.0,6.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0,2.0,0.0,1.0,58.00000000000001,2.0714285714285716,1.0357142857142858,2014,9,2014-09-30
31.0,5.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0,2.0,0.0,1.0,52.7,2.066666666666667,1.0333333333333334,2014,10,2014-10-31
37.0,5.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,64.48571428571428,2.1142857142857143,1.0571428571428572,2014,11,2014-11-30
38.0,4.0,0.0,1.0,1.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,69.66666666666667,2.111111111111111,1.0555555555555556,2014,12,2014-12-31
33.0,4.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,2.0,0.0,1.0,54.29032258064516,2.129032258064516,1.064516129032258,2015,1,2015-01-31
34.0,5.0,0.0,1.0,1.0,0.0,0.0,5.0,6.0,2.0,0.0,1.0,50.484848484848484,2.0606060606060606,1.0303030303030303,2015,2,2015-02-28
40.0,5.0,0.0,1.0,1.0,0.0,0.0,6.0,7.0,2.0,0.0,1.0,51.28205128205128,2.051282051282051,1.0256410256410255,2015,3,2015-03-31
47.0,4.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,2.0,0.0,1.0,52.22222222222223,2.088888888888889,1.0444444444444445,2015,4,2015-04-30
52.0,5.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,2.0,0.0,1.0,52.0,3.12,1.04,2015,5,2015-05-31
54.0,6.0,1.0,1.0,2.0,1.0,0.0,6.0,5.0,2.0,0.0,1.0,49.846153846153854,3.115384615384616,2.076923076923077,2015,6,2015-06-30
64.0,7.0,1.0,1.0,2.0,1.0,0.0,8.0,6.0,2.0,0.0,1.0,52.64516129032258,3.096774193548387,2.064516129032258,2015,7,2015-07-31
59.0,7.0,1.0,1.0,2.0,1.0,0.0,7.0,5.0,2.0,0.0,1.0,54.85964912280702,3.105263157894737,2.0701754385964914,2015,8,2015-08-31
58.0,7.0,1.0,2.0,2.0,1.0,0.0,6.0,5.0,2.0,0.0,1.0,53.85714285714286,3.1071428571428577,2.0714285714285716,2015,9,2015-09-30
60.0,8.0,1.0,2.0,2.0,1.0,0.0,6.0,5.0,2.0,1.0,1.0,52.758620689655174,3.1034482758620694,2.0689655172413794,2015,10,2015-10-31
57.0,8.0,1.0,2.0,1.0,1.0,0.0,6.0,4.0,2.0,0.0,1.0,59.07272727272727,3.1090909090909093,2.0727272727272728,2015,11,2015-11-30
57.0,8.0,1.0,1.0,2.0,1.0,0.0,7.0,4.0,1.0,0.0,1.0,66.32727272727273,3.1090909090909093,2.0727272727272728,2015,12,2015-12-31
