Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,Etsy,Shopify,Udemy,year,quarter,date,Lyft_lag,DoorDash_lag,Instacart_lag,Grubhub_lag,Fiverr_lag,Upwork_lag,side hustle_lag,gig_lag,Herbalife_lag,Primerica_lag,Tupperware_lag,Avon_lag,Etsy_lag,Shopify_lag,Udemy_lag,quarter_lag
9.0,43.0,16.333333333333332,16.0,3.0,1.3333333333333333,1.0,6.0,4.333333333333333,2.0,3.0,14.666666666666666,90.65147409049848,12.457156935205717,3.114289233801429,2020,4,2020-10-01,10.0,40.0,16.0,18.0,4.0,2.0,1.0,6.333333333333333,6.0,2.0,3.3333333333333335,16.666666666666668,82.48842760768032,16.01988890810894,4.090518749159123,3.0
10.333333333333334,47.666666666666664,17.0,18.666666666666668,4.666666666666667,1.3333333333333333,1.0,6.0,5.666666666666667,2.0,3.3333333333333335,14.666666666666666,78.04382522239665,11.29394415108701,3.081596974454117,2021,1,2021-01-01,9.0,43.0,16.333333333333332,16.0,3.0,1.3333333333333333,1.0,6.0,4.333333333333333,2.0,3.0,14.666666666666666,90.65147409049848,12.457156935205717,3.114289233801429,4.0
11.666666666666666,45.0,13.333333333333334,16.0,3.6666666666666665,1.3333333333333333,1.0,6.0,5.666666666666667,2.0,3.0,16.0,69.39928286129266,10.598538489469862,3.077478213507625,2021,2,2021-04-01,10.333333333333334,47.666666666666664,17.0,18.666666666666668,4.666666666666667,1.3333333333333333,1.0,6.0,5.666666666666667,2.0,3.3333333333333335,14.666666666666666,78.04382522239665,11.29394415108701,3.081596974454117,1.0
11.666666666666666,40.0,15.0,14.0,3.0,1.0,1.0,6.0,4.666666666666667,2.0,3.0,16.666666666666668,67.5203195352215,10.387509077705156,3.116252723311547,2021,3,2021-07-01,11.666666666666666,45.0,13.333333333333334,16.0,3.6666666666666665,1.3333333333333333,1.0,6.0,5.666666666666667,2.0,3.0,16.0,69.39928286129266,10.598538489469862,3.077478213507625,2.0
11.0,40.333333333333336,16.0,14.0,3.3333333333333335,1.0,1.0,6.0,3.6666666666666665,1.6666666666666667,3.3333333333333335,15.333333333333334,84.42274201988488,10.26276295133438,3.0788697017268447,2021,4,2021-10-01,11.666666666666666,40.0,15.0,14.0,3.0,1.0,1.0,6.0,4.666666666666667,2.0,3.0,16.666666666666668,67.5203195352215,10.387509077705156,3.116252723311547,3.0
11.666666666666666,47.666666666666664,20.333333333333332,15.333333333333334,5.333333333333333,2.0,1.0,6.333333333333333,4.333333333333333,2.0,3.0,14.666666666666666,84.17553593947036,14.141894353369764,4.485596188874878,2022,1,2022-01-01,11.0,40.333333333333336,16.0,14.0,3.3333333333333335,1.0,1.0,6.0,3.6666666666666665,1.6666666666666667,3.3333333333333335,15.333333333333334,84.42274201988488,10.26276295133438,3.0788697017268447,4.0
12.666666666666666,44.333333333333336,16.333333333333332,13.0,5.0,2.3333333333333335,1.3333333333333333,7.0,4.0,2.0,3.0,15.0,76.14530676974924,15.08762018039449,4.115373178709485,2022,2,2022-04-01,11.666666666666666,47.666666666666664,20.333333333333332,15.333333333333334,5.333333333333333,2.0,1.0,6.333333333333333,4.333333333333333,2.0,3.0,14.666666666666666,84.17553593947036,14.141894353369764,4.485596188874878,1.0
12.666666666666666,43.666666666666664,16.666666666666668,14.333333333333334,5.0,2.6666666666666665,1.0,7.0,3.6666666666666665,2.3333333333333335,3.0,16.333333333333332,76.24307401500384,14.07872880855337,4.121259377399729,2022,3,2022-07-01,12.666666666666666,44.333333333333336,16.333333333333332,13.0,5.0,2.3333333333333335,1.3333333333333333,7.0,4.0,2.0,3.0,15.0,76.14530676974924,15.08762018039449,4.115373178709485,2.0
11.666666666666666,43.0,17.0,11.666666666666666,4.0,2.6666666666666665,1.0,6.666666666666667,2.6666666666666665,2.0,3.0,13.666666666666666,89.56432202510634,15.561002178649238,4.149289345367777,2022,4,2022-10-01,12.666666666666666,43.666666666666664,16.666666666666668,14.333333333333334,5.0,2.6666666666666665,1.0,7.0,3.6666666666666665,2.3333333333333335,3.0,16.333333333333332,76.24307401500384,14.07872880855337,4.121259377399729,3.0
12.0,47.0,17.0,11.333333333333334,5.0,3.0,1.3333333333333333,6.666666666666667,3.0,2.0,3.0,13.666666666666666,75.12482435733735,16.467340668054316,4.457994437739413,2023,1,2023-01-01,11.666666666666666,43.0,17.0,11.666666666666666,4.0,2.6666666666666665,1.0,6.666666666666667,2.6666666666666665,2.0,3.0,13.666666666666666,89.56432202510634,15.561002178649238,4.149289345367777,4.0
